team,year,ap_rank,kenpom_rank,team_clean
Robert Morris,2022,269,,Robert Morris
Loyola MD,2022,270,,Loyola MD
North Dakota,2022,271,,North Dakota
UNC Wilmington,2022,272,,UNC Wilmington
Southern Utah,2022,273,,Southern Utah
Sacramento St.,2022,274,,Sacramento St.
St. Francis NY,2022,275,,St. Francis NY
Marist,2022,276,,Marist
Western Carolina,2022,277,,Western Carolina
Cleveland St.,2022,278,,Cleveland St.
Albany,2022,279,,Albany
Navy,2022,280,,Navy
Houston Baptist,2022,281,,Houston Baptist
Canisius,2022,282,,Canisius
Tulane,2022,283,,Tulane
North Alabama,2022,284,,North Alabama
James Madison,2022,285,,James Madison
Portland St.,2022,286,,Portland St.
Texas A&M Corpus Chris,2022,287,,Texas A&M Corpus Chris
VMI,2022,288,,VMI
Tennessee Martin,2022,289,,Tennessee Martin
Oral Roberts,2022,290,,Oral Roberts
Towson,2022,291,,Towson
Tennessee St.,2022,292,,Tennessee St.
George Washington,2022,293,,George Washington
Western Illinois,2022,294,,Western Illinois
Monmouth,2022,295,,Monmouth
Milwaukee,2022,296,,Milwaukee
Charlotte,2022,297,,Charlotte
Lafayette,2022,298,,Lafayette
UTEP,2022,299,,UTEP
North Carolina A&T,2022,300,,North Carolina A&T
Fairfield,2022,301,,Fairfield
Central Arkansas,2022,302,,Central Arkansas
North Carolina Central,2022,303,,North Carolina Central
Northern Arizona,2022,304,,Northern Arizona
Howard,2022,305,,Howard
Bethune Cookman,2022,306,,Bethune Cookman
Eastern Illinois,2022,307,,Eastern Illinois
Southeast Missouri St.,2022,308,,Southeast Missouri St.
Elon,2022,309,,Elon
Nicholls St.,2022,310,,Nicholls St.
Stephen F. Austin,2022,311,,Stephen F. Austin
Denver,2022,312,,Denver
Arkansas Pine Bluff,2022,313,,Arkansas Pine Bluff
Wagner,2022,314,,Wagner
Niagara,2022,315,,Niagara
Saint Peter's,2022,316,,Saint Peter's
Wyoming,2022,317,,Wyoming
Florida A&M,2022,318,,Florida A&M
Jackson St.,2022,319,,Jackson St.
Tennessee Tech,2022,320,,Tennessee Tech
Central Connecticut,2022,321,,Central Connecticut
UC Riverside,2022,322,,UC Riverside
Manhattan,2022,323,,Manhattan
Mount St. Mary's,2022,324,,Mount St. Mary's
Stetson,2022,325,,Stetson
Portland,2022,326,,Portland
Bryant,2022,327,,Bryant
Alabama St.,2022,328,,Alabama St.
Idaho St.,2022,329,,Idaho St.
SIU Edwardsville,2022,330,,SIU Edwardsville
McNeese St.,2022,331,,McNeese St.
Binghamton,2022,332,,Binghamton
Morgan St.,2022,333,,Morgan St.
Cal Poly,2022,334,,Cal Poly
Southern,2022,335,,Southern
USC Upstate,2022,336,,USC Upstate
South Carolina St.,2022,337,,South Carolina St.
Maine,2022,338,,Maine
Kennesaw St.,2022,339,,Kennesaw St.
Savannah St.,2022,340,,Savannah St.
Northwestern St.,2022,341,,Northwestern St.
Coppin St.,2022,342,,Coppin St.
San Jose St.,2022,343,,San Jose St.
Alabama A&M,2022,344,,Alabama A&M
New Hampshire,2022,345,,New Hampshire
Incarnate Word,2022,346,,Incarnate Word
UNC Asheville,2022,347,,UNC Asheville
Idaho,2022,348,,Idaho
Alcorn St.,2022,349,,Alcorn St.
Mississippi Valley St.,2022,350,,Mississippi Valley St.
Chicago St.,2022,351,,Chicago St.
Delaware St.,2022,352,,Delaware St.
Maryland Eastern Shore,2022,353,,Maryland Eastern Shore
