player_name_clean,first_year,final_year,seasons_played,total_games,avg_pts,career_span,is_one_and_done
Tim Johnson,2009,2014,5,150,7.23,6,False
Kellon Thomas,2013,2017,5,133,7.22,5,False
Dylan Ennis,2012,2017,5,137,7.2,6,False
Donnell Gresham Jr,2016,2020,5,120,7.15,5,False
Jamil Wilson,2010,2020,5,152,7.12,11,False
Kourtney Roberson,2011,2015,5,141,7.12,5,False
Jay Harris,2011,2015,5,146,7.09,5,False
Davon Bell,2015,2019,5,117,7.07,5,False
Malik Johnson,2011,2020,5,133,7.07,10,False
Matt Thomas,2009,2017,5,172,7.07,9,False
James White,2012,2016,5,109,7.06,5,False
Toddrick Gotcher,2012,2016,5,136,7.02,5,False
Lawrence Johnson-Danner,2010,2014,5,129,7.01,5,False
Tyler Jones,2009,2021,5,130,6.98,13,False
Blake Jenkins,2010,2014,5,131,6.97,5,False
Kyle Smyth,2009,2013,5,129,6.97,5,False
Evan Taylor,2015,2021,5,134,6.86,7,False
Chris Jenkins,2014,2018,5,118,6.83,5,False
Phil Cofer,2015,2019,5,133,6.8,5,False
Solomon Young,2017,2021,5,114,6.79,5,False
Matt Williams,2013,2017,5,128,6.78,5,False
Isaac White,2016,2020,5,132,6.77,5,False
Ryan Luther,2015,2019,5,116,6.73,5,False
Taylor Brown,2009,2014,5,141,6.73,6,False
Quinton Adlesh,2016,2020,5,110,6.72,5,False
Austin Nichols,2010,2017,5,81,6.71,8,False
Bosko Kostur,2014,2018,5,109,6.7,5,False
Justin Alston,2013,2017,5,118,6.64,5,False
Christian Wilson,2015,2021,5,108,6.61,7,False
James Hulbin,2009,2013,5,116,6.61,5,False
Nigel Johnson,2009,2018,5,153,6.6,10,False
Jake Gollon,2010,2014,5,143,6.58,5,False
Khwan Fore,2015,2019,5,132,6.58,5,False
Eddie Davis Iii,2016,2020,5,102,6.56,5,False
Hameed Ali,2012,2016,5,123,6.55,5,False
Josh Kozinski,2014,2018,5,131,6.52,5,False
Talib Zanna,2010,2014,5,135,6.52,5,False
Jordyn Martin,2013,2017,5,132,6.49,5,False
Cj Jackson,2009,2020,5,128,6.47,12,False
John Fulkerson,2017,2021,5,131,6.47,5,False
Lucas Nutt,2010,2014,5,129,6.45,5,False
Riley Norris,2015,2019,5,135,6.45,5,False
Kajon Mack,2013,2018,5,123,6.43,6,False
Mike Felt,2010,2014,5,123,6.43,5,False
Wyatt Lohaus,2015,2019,5,130,6.35,5,False
Jake Killingsworth,2017,2021,5,94,6.34,5,False
Aaron Wheeler,2015,2021,5,150,6.31,7,False
Dennis Clifford,2012,2016,5,125,6.31,5,False
Mikel Trapp,2011,2015,5,109,6.3,5,False
Ge'Lawn Guyn,2012,2016,5,134,6.24,5,False
Logan Johnson,2009,2021,5,134,6.23,13,False
Jaevin Cumberland,2016,2020,5,123,6.22,5,False
Michael Davenport,2009,2013,5,126,6.21,5,False
Brandon Randolph,2014,2019,5,150,6.2,6,False
Darius Graham,2013,2017,5,131,6.19,5,False
Jacob Wiley,2017,2021,5,131,6.17,5,False
Josh Martin,2015,2019,5,83,6.12,5,False
Dj Johnson,2013,2021,5,153,6.09,9,False
Rob Johnson,2010,2018,5,116,6.09,9,False
Arnaldo Toro,2017,2021,5,120,6.06,5,False
Marcellus Barksdale,2012,2016,5,128,6.05,5,False
Brandon Moore,2009,2013,5,127,6.03,5,False
Lonnie Jackson,2012,2016,5,125,6.02,5,False
Matt Willms,2014,2018,5,113,5.99,5,False
Marcus Ware,2010,2014,5,118,5.98,5,False
Jayce Johnson,2017,2021,5,135,5.97,5,False
Cj Anderson,2009,2018,5,160,5.92,10,False
Nate Johnson,2016,2021,5,98,5.9,6,False
Alex Thompson,2009,2018,5,135,5.84,10,False
Donte Williams,2011,2015,5,153,5.84,5,False
Jalen Jackson,2014,2021,5,125,5.8,8,False
Pat Forsythe,2012,2016,5,125,5.79,5,False
Shaun Noriega,2010,2015,5,89,5.79,6,False
Aj Wilson,2010,2021,5,132,5.78,12,False
Chase Adams,2009,2021,5,120,5.78,13,False
Ryan Brooks,2009,2013,5,132,5.78,5,False
Tyler Williams,2015,2019,5,150,5.78,5,False
